,time,xe135,kr86,u235,u238,u233,th232,pu239,tc99,tc99m,mo99,nb95,ru103,rh105,Steps,xe135_error,kr86_error,u235_error,u238_error,u233_error,th232_error,pu239_error,tc99_error,tc99m_error,mo99_error,nb95_error,ru103_error,rh105_error
0,730,0.0008022126067700001,0.00016610167761,4315.106645200001,8819.305290299999,2.3044737254000002e-07,6.333901809600001e-05,50.673935225,0.0009966100656600002,0.00051204481124,0.006393758270000001,0.007649383564300002,0.0039763734943,0.0007993558211599999,1,0.045020242914979726,0.0008196721311474441,0.0003153579312521162,0.0,0.011343283582089648,0.00021473051320568728,0.0018827326519634511,1.1585150265173842,0.6071733561058922,0.0019185674696227267,0.04400297066468647,0.004467353951890164,0.022980501392757584
1,730,0.0008022126067700001,0.00016610167761,4315.106645200001,8819.305290299999,2.3031133513000002e-07,6.333901809600001e-05,50.660331484,0.0009966100656600002,0.00051204481124,0.006393758270000001,0.007648023190200002,0.0039763734943,0.0007992197837500001,8,0.045020242914979726,0.0008196721311474441,0.0003153579312521162,0.0,0.010746268656716533,0.00021473051320568728,0.0016137708445400206,1.1585150265173842,0.6071733561058922,0.0019185674696227267,0.04381730412179752,0.004467353951890164,0.02280640668523699
2,730,0.0008023486441800001,0.00016623771501999998,4315.106645200001,8819.305290299999,2.3031133513000002e-07,6.333901809600001e-05,50.660331484,0.0009967461030700002,0.0005121808486500001,0.006395118644100001,0.007650743938400002,0.0039763734943,0.0007993558211599999,10,0.04485829959514169,0.0016393442622948881,0.0003153579312521162,0.0,0.010746268656716533,0.00021473051320568728,0.0016137708445400206,1.1588096641131413,0.6076003415883862,0.0021317416329141104,0.04418863720757542,0.004467353951890164,0.022980501392757584
3,730,0.0008026207189999999,0.00016623771501999998,4315.106645200001,8819.305290299999,2.3031133513000002e-07,6.333901809600001e-05,50.687538966000005,0.00099701817789,0.0005123168860600001,0.006396479018200001,0.0076521043125,0.0039777338684,0.0007996278959800001,12,0.044534412955465744,0.0016393442622948881,0.0003153579312521162,0.0,0.010746268656716533,0.00021473051320568728,0.002151694459386882,1.1593989393046553,0.6080273270708797,0.0023449157962054943,0.04437430375046413,0.004810996563573972,0.0233286908077996
4,730,0.0008027567564099999,0.00016623771501999998,4315.106645200001,8819.305290299999,2.3031133513000002e-07,6.333901809600001e-05,50.687538966000005,0.0009971542153,0.0005124529234700001,0.0063978393923,0.007650743938400002,0.0039790942425,0.0007997639333899999,14,0.04437246963562771,0.0016393442622948881,0.0003153579312521162,0.0,0.010746268656716533,0.00021473051320568728,0.002151694459386882,1.1596935769004124,0.6084543125533732,0.002558089959496878,0.04418863720757542,0.00515463917525778,0.023502785515320333
5,730,0.0008027567564099999,0.00016623771501999998,4315.106645200001,8819.305290299999,2.3017529772000003e-07,6.333901809600001e-05,50.687538966000005,0.00099729025271,0.0005124529234700001,0.0063978393923,0.007649383564300002,0.0039790942425,0.0007998999708,16,0.04437246963562771,0.0016393442622948881,0.0003153579312521162,0.0,0.010149253731343419,0.00021473051320568728,0.002151694459386882,1.1599882144961695,0.6084543125533732,0.002558089959496878,0.04400297066468647,0.00515463917525778,0.023676880222841343
6,730,0.0008028927938200001,0.00016623771501999998,4315.106645200001,8819.305290299999,2.3017529772000003e-07,6.333901809600001e-05,50.687538966000005,0.00099742629012,0.0005124529234700001,0.0063991997664,0.007648023190200002,0.0039790942425,0.0007998999708,18,0.04421052631578941,0.0016393442622948881,0.0003153579312521162,0.0,0.010149253731343419,0.00021473051320568728,0.002151694459386882,1.1602828520919268,0.6084543125533732,0.002771264122788262,0.04381730412179752,0.00515463917525778,0.023676880222841343
7,730,0.0008028927938200001,0.00016623771501999998,4315.106645200001,8819.305290299999,2.3017529772000003e-07,6.333901809600001e-05,50.687538966000005,0.00099742629012,0.00051258896088,0.0063991997664,0.007645302442000001,0.0039790942425,0.0007998999708,20,0.04421052631578941,0.0016393442622948881,0.0003153579312521162,0.0,0.010149253731343419,0.00021473051320568728,0.002151694459386882,1.1602828520919268,0.6088812980358668,0.002771264122788262,0.04344597103601951,0.00515463917525778,0.023676880222841343
8,730,0.0008030288312300001,0.00016637375243000002,4315.106645200001,8819.305290299999,2.2976718549000001e-07,6.333901809600001e-05,50.687538966000005,0.00099892270163,0.0005127249982899999,0.0064005601405,0.0076248968305,0.003980454616600001,0.00080003600821,36,0.04404858299595137,0.0024590163934426587,0.0003153579312521162,0.0,0.008358208955223958,0.00021473051320568728,0.002151694459386882,1.1635238656452562,0.60930828351836,0.002984438286079646,0.04066097289268479,0.0054982817869418076,0.023850974930362215
9,730,0.00080384505569,0.00016637375243000002,4315.106645200001,8819.305290299999,2.2935907326000003e-07,6.333901809600001e-05,50.673935225,0.00098885593329,0.0005178944198700001,0.0063991997664,0.007539193262200002,0.0039777338684,0.0007463012312600001,68,0.043076923076923145,0.0024590163934426587,0.0003153579312521162,0.0,0.0065671641791046126,0.00021473051320568728,0.0018827326519634511,1.1417206835592224,0.625533731853117,0.002771264122788262,0.028963980690679788,0.004810996563573972,0.0449164345403898
10,730,0.0008056135420200001,0.00016637375243000002,4315.106645200001,8819.305290299999,2.2881492362000002e-07,6.333901809600001e-05,50.660331484,0.0008846512772299998,0.0005019780429000001,0.006396479018200001,0.0074983820392,0.0039750131202000005,0.0007177333751600001,132,0.04097165991902827,0.0024590163934426587,0.0003153579312521162,0.0,0.004179104477612037,0.00021473051320568728,0.0016137708445400206,0.9160282852091923,0.5755764304013665,0.0023449157962054943,0.023393984404010356,0.004123711340206356,0.08147632311977697
